"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1399,2,1399.125,"آذربايجان شرقي",2113,1742.6,370.4,0.175295787979177
1400,2,1400.125,"آذربايجان شرقي",3497,1742.6,1754.4,0.50168716042322
1399,3,1399.20833333333,"آذربايجان شرقي",2222,1704.6,517.4,0.232853285328533
1400,3,1400.20833333333,"آذربايجان شرقي",2480,1704.6,775.4,0.312661290322581
1401,3,1401.20833333333,"آذربايجان شرقي",2148,1704.6,443.4,0.206424581005587
1399,4,1399.29166666667,"آذربايجان شرقي",2684,1752.8,931.2,0.346944858420268
1400,4,1400.29166666667,"آذربايجان شرقي",2415,1752.8,662.2,0.274202898550725
1399,5,1399.375,"آذربايجان شرقي",2972,1912.2,1059.8,0.356594885598923
1399,6,1399.45833333333,"آذربايجان شرقي",2252,1785,467,0.207371225577265
1400,6,1400.45833333333,"آذربايجان شرقي",4047,1785,2262,0.558932542624166
1401,6,1401.45833333333,"آذربايجان شرقي",2020,1785,235,0.116336633663366
1399,7,1399.54166666667,"آذربايجان شرقي",2758,1774.2,983.8,0.35670775924583
1400,7,1400.54166666667,"آذربايجان شرقي",3465,1774.2,1690.8,0.487965367965368
1399,8,1399.625,"آذربايجان شرقي",4368,1740,2628,0.601648351648352
1400,8,1400.625,"آذربايجان شرقي",2497,1740,757,0.303163796555867
1399,9,1399.70833333333,"آذربايجان شرقي",3269,1947.2,1321.8,0.404343836035485
1399,10,1399.79166666667,"آذربايجان شرقي",2478,1928.75,549.25,0.221650524616626
1399,12,1399.95833333333,"آذربايجان شرقي",2214,1801.8,412.2,0.186178861788618
1400,12,1400.95833333333,"آذربايجان شرقي",2843,1801.8,1041.2,0.366232852620471
1400,1,1400.04166666667,"آذربايجان غربي",1625,1184.6,440.4,0.271015384615385
1400,2,1400.125,"آذربايجان غربي",2165,1181.2,983.8,0.454411085450346
1399,4,1399.29166666667,"آذربايجان غربي",2132,1208.6,923.4,0.433114446529081
1400,4,1400.29166666667,"آذربايجان غربي",1584,1208.6,375.4,0.23699494949495
1399,5,1399.375,"آذربايجان غربي",1886,1240.2,645.8,0.342417815482503
1400,5,1400.375,"آذربايجان غربي",1570,1240.2,329.8,0.210063694267516
1401,5,1401.375,"آذربايجان غربي",1483,1240.2,242.8,0.16372218476062
1399,6,1399.45833333333,"آذربايجان غربي",1292,1184.4,107.6,0.08328173374613
1400,6,1400.45833333333,"آذربايجان غربي",2688,1184.4,1503.6,0.559375
1401,6,1401.45833333333,"آذربايجان غربي",1400,1184.4,215.6,0.154
