"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1399,1,1399.04166666667,"آذربايجان شرقي",2053,2014,39,0.0189965903555772
1400,1,1400.04166666667,"آذربايجان شرقي",2275,2086.2,188.800000000003,0.0829890109890123
1401,1,1401.04166666667,"آذربايجان شرقي",1876,2158.40000000001,-282.400000000009,-0.150533049040516
1399,2,1399.125,"آذربايجان شرقي",2113,1742.6,370.4,0.175295787979177
1400,2,1400.125,"آذربايجان شرقي",3497,1742.6,1754.4,0.50168716042322
1401,2,1401.125,"آذربايجان شرقي",1919,1742.6,176.4,0.0919228764981762
1399,3,1399.20833333333,"آذربايجان شرقي",2222,1704.6,517.4,0.232853285328533
1400,3,1400.20833333333,"آذربايجان شرقي",2480,1704.6,775.4,0.312661290322581
1401,3,1401.20833333333,"آذربايجان شرقي",2148,1704.6,443.4,0.206424581005587
1399,4,1399.29166666667,"آذربايجان شرقي",2684,1752.8,931.2,0.346944858420268
1400,4,1400.29166666667,"آذربايجان شرقي",2415,1752.8,662.2,0.274202898550725
1401,4,1401.29166666667,"آذربايجان شرقي",2022,1752.8,269.2,0.133135509396637
1399,5,1399.375,"آذربايجان شرقي",2972,1912.2,1059.8,0.356594885598923
1400,5,1400.375,"آذربايجان شرقي",2211,1912.2,298.8,0.135142469470828
1401,5,1401.375,"آذربايجان شرقي",2136,1912.2,223.8,0.104775280898876
1399,6,1399.45833333333,"آذربايجان شرقي",2252,1785,467,0.207371225577265
1400,6,1400.45833333333,"آذربايجان شرقي",4047,1785,2262,0.558932542624166
1401,6,1401.45833333333,"آذربايجان شرقي",2020,1785,235,0.116336633663366
1399,7,1399.54166666667,"آذربايجان شرقي",2758,1774.2,983.8,0.35670775924583
1400,7,1400.54166666667,"آذربايجان شرقي",3465,1774.2,1690.8,0.487965367965368
1401,7,1401.54166666667,"آذربايجان شرقي",1414,1774.2,-360.2,-0.254738330975955
1399,8,1399.625,"آذربايجان شرقي",4368,1740,2628,0.601648351648352
1400,8,1400.625,"آذربايجان شرقي",2497,1740,757,0.303163796555867
1399,9,1399.70833333333,"آذربايجان شرقي",3269,1947.2,1321.8,0.404343836035485
1400,9,1400.70833333333,"آذربايجان شرقي",2227,1947.2,279.8,0.125639874270319
1399,10,1399.79166666667,"آذربايجان شرقي",2478,1928.75,549.25,0.221650524616626
1400,10,1400.79166666667,"آذربايجان شرقي",1825,1928.75,-103.75,-0.0568493150684932
1398,11,1398.875,"آذربايجان شرقي",1732,1953.6,-221.6,-0.127944572748268
1399,11,1399.875,"آذربايجان شرقي",1941,1953.6,-12.5999999999999,-0.00649149922720243
1400,11,1400.875,"آذربايجان شرقي",2032,1953.6,78.4000000000001,0.0385826771653544
1398,12,1398.95833333333,"آذربايجان شرقي",1679,1801.8,-122.8,-0.0731387730792138
1399,12,1399.95833333333,"آذربايجان شرقي",2214,1801.8,412.2,0.186178861788618
1400,12,1400.95833333333,"آذربايجان شرقي",2843,1801.8,1041.2,0.366232852620471
1399,1,1399.04166666667,"آذربايجان غربي",1306,1184.6,121.4,0.0929555895865238
1400,1,1400.04166666667,"آذربايجان غربي",1625,1184.6,440.4,0.271015384615385
1401,1,1401.04166666667,"آذربايجان غربي",1232,1184.6,47.4000000000001,0.038474025974026
1399,2,1399.125,"آذربايجان غربي",1405,1181.2,223.8,0.159288256227758
1400,2,1400.125,"آذربايجان غربي",2165,1181.2,983.8,0.454411085450346
1401,2,1401.125,"آذربايجان غربي",1302,1181.2,120.8,0.0927803379416282
1399,3,1399.20833333333,"آذربايجان غربي",1499,1322.99999999999,176.000000000015,0.117411607738502
1400,3,1400.20833333333,"آذربايجان غربي",1557,1381.39999999998,175.60000000002,0.11278098908158
1401,3,1401.20833333333,"آذربايجان غربي",1421,1439.79999999999,-18.7999999999884,-0.0132301196340523
1399,4,1399.29166666667,"آذربايجان غربي",2132,1208.6,923.4,0.433114446529081
1400,4,1400.29166666667,"آذربايجان غربي",1584,1208.6,375.4,0.23699494949495
1401,4,1401.29166666667,"آذربايجان غربي",1314,1208.6,105.4,0.080213089802131
1399,5,1399.375,"آذربايجان غربي",1886,1240.2,645.8,0.342417815482503
1400,5,1400.375,"آذربايجان غربي",1570,1240.2,329.8,0.210063694267516
1401,5,1401.375,"آذربايجان غربي",1483,1240.2,242.8,0.16372218476062
1399,6,1399.45833333333,"آذربايجان غربي",1292,1184.4,107.6,0.08328173374613
1400,6,1400.45833333333,"آذربايجان غربي",2688,1184.4,1503.6,0.559375
1401,6,1401.45833333333,"آذربايجان غربي",1400,1184.4,215.6,0.154
1399,7,1399.54166666667,"آذربايجان غربي",1738,1150.6,587.4,0.337974683544304
1400,7,1400.54166666667,"آذربايجان غربي",2425,1150.6,1274.4,0.525525773195876
1401,7,1401.54166666667,"آذربايجان غربي",917,1150.6,-233.6,-0.25474372955289
1399,8,1399.625,"آذربايجان غربي",3450,1151.6,2298.4,0.666202898550725
1400,8,1400.625,"آذربايجان غربي",1774,1151.6,622.4,0.350845546786922
1399,9,1399.70833333333,"آذربايجان غربي",2417,1303,1114,0.460901944559371
1400,9,1400.70833333333,"آذربايجان غربي",1627,1303,324,0.199139520590043
1399,10,1399.79166666667,"آذربايجان غربي",1708,1283.25,424.75,0.248682669789227
1400,10,1400.79166666667,"آذربايجان غربي",1289,1283.25,5.75,0.00446082234290147
1398,11,1398.875,"آذربايجان غربي",1241,1302.8,-61.8,-0.049798549556809
1399,11,1399.875,"آذربايجان غربي",1304,1302.8,1.20000000000005,0.000920245398773041
1400,11,1400.875,"آذربايجان غربي",1464,1302.8,161.2,0.110109289617486
1398,12,1398.95833333333,"آذربايجان غربي",1124,1193,-69,-0.0613879003558719
1399,12,1399.95833333333,"آذربايجان غربي",1512,1193,319,0.210978835978836
1400,12,1400.95833333333,"آذربايجان غربي",1907,1193,714,0.3744100681699
1399,1,1399.04166666667,"اردبيل",705,550.6,154.4,0.219007092198582
1400,1,1400.04166666667,"اردبيل",753,550.6,202.4,0.268791500664011
1401,1,1401.04166666667,"اردبيل",566,550.6,15.4,0.027208480565371
1399,2,1399.125,"اردبيل",729,545,184,0.252400548696845
1400,2,1400.125,"اردبيل",1006,545,461,0.458250497017893
1401,2,1401.125,"اردبيل",522,545,-23,-0.0440613026819923
1399,3,1399.20833333333,"اردبيل",636,519.4,116.6,0.183333333333333
1400,3,1400.20833333333,"اردبيل",705,519.4,185.6,0.263262411347518
1401,3,1401.20833333333,"اردبيل",694,519.4,174.6,0.251585014409222
1399,4,1399.29166666667,"اردبيل",800,507,293,0.36625
1400,4,1400.29166666667,"اردبيل",667,507,160,0.239880059970015
1401,4,1401.29166666667,"اردبيل",624,507,117,0.1875
1399,5,1399.375,"اردبيل",1085,541,544,0.501382488479263
1400,5,1400.375,"اردبيل",726,541,185,0.254820936639118
1401,5,1401.375,"اردبيل",579,541,38,0.0656303972366149
1399,6,1399.45833333333,"اردبيل",694,548,146,0.210374639769452
1400,6,1400.45833333333,"اردبيل",1373,548,825,0.600873998543336
1401,6,1401.45833333333,"اردبيل",614,548,66,0.107491856677524
1399,7,1399.54166666667,"اردبيل",705,571.6,133.4,0.189219858156028
1400,7,1400.54166666667,"اردبيل",806,571.6,234.4,0.290818858560794
1401,7,1401.54166666667,"اردبيل",471,571.6,-100.6,-0.213588110403397
1399,8,1399.625,"اردبيل",969,538.2,430.8,0.444582043343653
1400,8,1400.625,"اردبيل",644,538.2,105.8,0.164285714285714
1399,9,1399.70833333333,"اردبيل",1018,582,436,0.428290766208251
1400,9,1400.70833333333,"اردبيل",718,582,136,0.18941504178273
1399,10,1399.79166666667,"اردبيل",831,688.69999999999,142.30000000001,0.171239470517461
1400,10,1400.79166666667,"اردبيل",594,721.899999999987,-127.899999999987,-0.215319865319843
1398,11,1398.875,"اردبيل",563,563,0,0
1399,11,1399.875,"اردبيل",604,563,41,0.0678807947019868
1400,11,1400.875,"اردبيل",641,563,78,0.121684867394696
1398,12,1398.95833333333,"اردبيل",466,562.2,-96.2,-0.206437768240343
1399,12,1399.95833333333,"اردبيل",657,562.2,94.8,0.144292237442922
1400,12,1400.95833333333,"اردبيل",877,562.2,314.8,0.358950969213227
1399,1,1399.04166666667,"اصفهان",2492,2096.80000000002,395.199999999983,0.158587479935788
1400,1,1400.04166666667,"اصفهان",2498,2197.80000000002,300.199999999983,0.120176140912723
1401,1,1401.04166666667,"اصفهان",2042,2298.80000000002,-256.800000000017,-0.125759059745356
1399,2,1399.125,"اصفهان",2214,1822,392,0.177055103884372
1400,2,1400.125,"اصفهان",3859,1822,2037,0.527856957761078
1401,2,1401.125,"اصفهان",2076,1822,254,0.122350674373796
1399,3,1399.20833333333,"اصفهان",2217,2128.30000000002,88.6999999999825,0.0400090211998117
1400,3,1400.20833333333,"اصفهان",2468,2231.60000000003,236.399999999965,0.0957860615883165
1401,3,1401.20833333333,"اصفهان",2297,2334.90000000002,-37.9000000000233,-0.0164997823247816
1399,4,1399.29166666667,"اصفهان",2579,2091.50000000001,487.499999999985,0.189026754556024
1400,4,1400.29166666667,"اصفهان",2336,2165.60000000001,170.399999999994,0.0729452054794496
1401,4,1401.29166666667,"اصفهان",2350,2239.7,110.300000000003,0.0469361702127672
1399,5,1399.375,"اصفهان",3194,2089.80000000002,1104.19999999998,0.345710707576701
1400,5,1400.375,"اصفهان",3290,2161.40000000001,1128.59999999999,0.343039513677809
1401,5,1401.375,"اصفهان",2300,2233.00000000001,66.9999999999854,0.0291304347826024
1399,6,1399.45833333333,"اصفهان",2564,1884.6,679.4,0.264976599063963
1400,6,1400.45833333333,"اصفهان",4834,1884.6,2949.4,0.610136532892015
1401,6,1401.45833333333,"اصفهان",2110,1884.6,225.4,0.106824644549763
1399,7,1399.54166666667,"اصفهان",3283,1852.2,1430.8,0.435820895522388
1400,7,1400.54166666667,"اصفهان",3616,1852.2,1763.8,0.487776548672566
1401,7,1401.54166666667,"اصفهان",1561,1852.2,-291.2,-0.186547085201794
1399,8,1399.625,"اصفهان",4426,1833.2,2592.8,0.585811116131948
1400,8,1400.625,"اصفهان",2569,1833.2,735.8,0.28641494745037
1399,9,1399.70833333333,"اصفهان",3169,2147,1022,0.322499211107605
1400,9,1400.70833333333,"اصفهان",2422,2147,275,0.113542526837325
1399,10,1399.79166666667,"اصفهان",2581,2081.25,499.75,0.193626501356064
